ID,Community,Day,Rep,S0,Nutrient 
M 664,C5,10,3,12,MN
M 665,C4,10,2,12,MN
M 666,C4,10,3,12,MN
M 667,C3,10,2,12,MN
M 668,C3,10,3,12,MN
M 669,C2,10,2,12,MN
M 670,C2,10,3,12,MN
M 671,C1,10,2,12,MN
M 672,C1,10,3,12,MN
M 673,C8,10,2,24,MN
M 674,C8,10,3,24,MN
M 675,C7,10,2,24,MN
M 676,C7,10,3,24,MN
M 677,C6,10,2,24,MN
M 678,C6,10,3,24,MN
M 679,C5,10,2,24,MN
M 680,C5,10,3,24,MN
M 681,C4,10,2,24,MN
M 682,C4,10,3,24,MN
M 683,C3,10,2,24,MN
M 684,C3,10,3,24,MN
M 685,C2,10,2,24,MN
M 686,C2,10,3,24,MN
M 687,C1,10,2,24,MN
M 688,C1,10,3,24,MN
M 689,C1,10,2,48,MN
M 690,C1,10,3,48,MN
M 691,C8,0,1,3,HN
M 692,C8,1,1,3,HN
M 693,C8,2,1,3,HN
M 694,C8,3,1,3,HN
M 695,C8,4,1,3,HN
M 696,C8,5,1,3,HN
M 697,C8,6,1,3,HN
M 698,C8,7,1,3,HN
M 699,C8,8,1,3,HN
M 700,C8,9,1,3,HN
M 701,C8,10,1,3,HN
M 702,C7,0,1,3,HN
M 703,C7,1,1,3,HN
M 704,C7,2,1,3,HN
M 705,C7,3,1,3,HN
M 706,C7,4,1,3,HN
M 707,C7,5,1,3,HN
M 708,C7,6,1,3,HN
M 709,C7,7,1,3,HN
M 710,C7,8,1,3,HN
M 711,C7,9,1,3,HN
M 712,C7,10,1,3,HN
M 713,C6,0,1,3,HN
M 714,C6,1,1,3,HN
M 715,C6,2,1,3,HN
M 716,C6,3,1,3,HN
M 717,C6,4,1,3,HN
M 718,C6,5,1,3,HN
M 719,C6,6,1,3,HN
M 720,C6,7,1,3,HN
M 721,C6,8,1,3,HN
M 722,C6,9,1,3,HN
M 723,C6,10,1,3,HN
M 724,C5,0,1,3,HN
M 725,C5,1,1,3,HN
M 726,C5,2,1,3,HN
M 727,C5,3,1,3,HN
M 728,C5,4,1,3,HN
M 729,C5,5,1,3,HN
M 730,C5,6,1,3,HN
M 731,C5,7,1,3,HN
M 732,C5,8,1,3,HN
M 733,C5,9,1,3,HN
M 734,C5,10,1,3,HN
M 735,C4,0,1,3,HN
M 736,C4,1,1,3,HN
M 737,C4,2,1,3,HN
M 738,C4,3,1,3,HN
M 739,C4,4,1,3,HN
M 740,C4,5,1,3,HN
